question,area,n_neurons,n_trials,full_acc,full_std,baseline_acc,baseline_std,lift,chance
Q1a,V1,7725,464,0.8996838687628161,0.04543574015544567,0.5012901572112097,0.03851432269905012,0.3983937115516064,0.5
Q1a,LM,1534,464,0.8839969241285031,0.0248841080645992,0.5721334586466165,0.046621516264968,0.3118634654818866,0.5
Q1a,AL,575,464,0.8816259398496239,0.0322466228430719,0.4768241626794258,0.03470778028199231,0.4048017771701981,0.5
Q1a,RL,1367,464,0.9110944976076555,0.04028765208912226,0.5720266575529733,0.04100481304940249,0.33906784005468216,0.5
Q1b,V1,7725,80,0.8875,0.04677071733467427,0.475,0.0637377439199098,0.4125,0.5
Q1b,LM,1534,80,0.9,0.03061862178478973,0.6875,0.07905694150420949,0.21250000000000002,0.5
Q1b,AL,575,80,0.85,0.049999999999999996,0.7125,0.0637377439199098,0.13749999999999996,0.5
Q1b,RL,1367,80,0.9,0.030618621784789725,0.775,0.0637377439199098,0.125,0.5
Q1c,V1,7725,384,0.6325128205128204,0.036928204772129214,0.34482051282051285,0.052434837930490856,0.2876923076923076,0.3333333333333333
Q1c,LM,1534,384,0.6587692307692307,0.008118776380374707,0.3602051282051282,0.04913088157154693,0.2985641025641025,0.3333333333333333
Q1c,AL,575,384,0.6355897435897436,0.037389644767391005,0.40902564102564104,0.05008300801976349,0.2265641025641026,0.3333333333333333
Q1c,RL,1367,384,0.6777435897435897,0.056406153696958915,0.3597948717948718,0.035702916195348405,0.31794871794871793,0.3333333333333333
